Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dressed_weight,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,gonad_weight,Instrument,lat_lon,Length,Library Name,LibraryLayout,LibrarySelection,LibrarySource,liver_weight,maturity,Organism,Platform,ReleaseDate,Sample Name,sex,ship,SRA Study,Station,store_cond,Strain,tissue,triP,weight
SRR16894110,not collected,WGS,125,279550875,PRJNA779096,SAMN23011771,Model organism or animal,138032851,CORNELL UNIVERSITY,2011-05-16,public,"fastq,sra",ncbi,ncbi.public,1.185,SRX13086805,Greenland,North America,"Greenland: 1B\, Itivdleq",0.06,Illumina HiSeq 2500,66.5 N 53.23 W,52,ITV2011_686_14247X85_3_se,SINGLE,RANDOM,GENOMIC,0.06,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ITV2011_686,male,AJ,SRP345309,10,not collected,not applicable,fin clips,4,1.405
SRR16894111,6,WGS,302,392304644,PRJNA779096,SAMN23011735,Model organism or animal,183618029,CORNELL UNIVERSITY,2011-05-10,public,"fastq,sra",ncbi,ncbi.public,1.176,SRX13086804,Greenland,North America,Greenland: Buksefjord,0.1,NextSeq 500,63.76 N 51.3 W,51,BUK2011_029_55108_7_pe,PAIRED,RANDOM,GENOMIC,0.03,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,BUK2011_029,male,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,1.368
SRR16894112,not collected,WGS,125,788262375,PRJNA779096,SAMN23011848,Model organism or animal,354694710,CORNELL UNIVERSITY,2011-05-17,public,"fastq,sra",ncbi,ncbi.public,1.29,SRX13086803,Greenland,North America,"Greenland: 1B\, Qeqertalik",0.168,Illumina HiSeq 2500,66.83 N 52.66 W,57,QQL2011_896_14247X82_3_se,SINGLE,RANDOM,GENOMIC,0.068,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,QQL2011_896,male,AJ,SRP345309,12,not collected,not applicable,fin clips,4,1.702
SRR16894113,7,WGS,125,2111179500,PRJNA779096,SAMN23011813,Model organism or animal,980881155,CORNELL UNIVERSITY,2008-02-03,public,"fastq,sra",ncbi,ncbi.public,3.82,SRX13086802,Greenland,North America,Greenland: Narsaq,0.269,Illumina HiSeq 2500,60.89 N 46.56 W,78,NAR2008_034_14247X81_3_se,SINGLE,RANDOM,GENOMIC,0.2059,5,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,NAR2008_034,male,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,4.52
SRR16894114,not collected,WGS,125,469640125,PRJNA779096,SAMN23011770,Model organism or animal,228479861,CORNELL UNIVERSITY,2011-05-16,public,"fastq,sra",ncbi,ncbi.public,1.41,SRX13086801,Greenland,North America,"Greenland: 1B\, Itivdleq",0.095,Illumina HiSeq 2500,66.5 N 53.23 W,56,ITV2011_682_14247X80_3_se,SINGLE,RANDOM,GENOMIC,0.065,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ITV2011_682,male,AJ,SRP345309,10,not collected,not applicable,fin clips,4,1.68
SRR16894115,not collected,WGS,125,681799750,PRJNA779096,SAMN23011847,Model organism or animal,313299416,CORNELL UNIVERSITY,2011-05-17,public,"fastq,sra",ncbi,ncbi.public,1.06,SRX13086800,Greenland,North America,"Greenland: 1B\, Qeqertalik",0.134,Illumina HiSeq 2500,66.83 N 52.66 W,50,QQL2011_894_14247X77_3_se,SINGLE,RANDOM,GENOMIC,0.048,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,QQL2011_894,male,AJ,SRP345309,12,not collected,not applicable,fin clips,4,1.314
SRR16894116,6,WGS,125,1642421750,PRJNA779096,SAMN23011812,Model organism or animal,729701342,CORNELL UNIVERSITY,2008-02-03,public,"fastq,sra",ncbi,ncbi.public,1.88,SRX13086799,Greenland,North America,Greenland: Narsaq,0.3766,Illumina HiSeq 2500,60.89 N 46.56 W,64,NAR2008_032_14247X76_3_se,SINGLE,RANDOM,GENOMIC,0.2255,5,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,NAR2008_032,male,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,2.54
SRR16894117,not collected,WGS,125,1025314625,PRJNA779096,SAMN23011769,Model organism or animal,450200172,CORNELL UNIVERSITY,2011-05-16,public,"fastq,sra",ncbi,ncbi.public,1.375,SRX13086798,Greenland,North America,"Greenland: 1B\, Itivdleq",0.145,Illumina HiSeq 2500,66.5 N 53.23 W,54,ITV2011_678_14247X75_3_se,SINGLE,RANDOM,GENOMIC,0.055,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,ITV2011_678,male,AJ,SRP345309,10,not collected,not applicable,fin clips,4,1.67
SRR16894118,6,WGS,125,849373750,PRJNA779096,SAMN23011727,Model organism or animal,398275183,CORNELL UNIVERSITY,2011-05-10,public,"fastq,sra",ncbi,ncbi.public,2.026,SRX13086797,Greenland,North America,Greenland: Buksefjord,0.052,Illumina HiSeq 2500,63.76 N 51.3 W,62,BUK2011_009_14247X7_1_se,SINGLE,RANDOM,GENOMIC,0.038,7,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,BUK2011_009,male,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,2.222
SRR16894119,not collected,WGS,125,914465375,PRJNA779096,SAMN23011837,Model organism or animal,444025941,CORNELL UNIVERSITY,2011-05-17,public,"fastq,sra",ncbi,ncbi.public,3.496,SRX13086796,Greenland,North America,"Greenland: 1B\, Qeqertalik",0.396,Illumina HiSeq 2500,66.83 N 52.68 W,75,QQL2011_846_14247X61_2_se,SINGLE,RANDOM,GENOMIC,0.114,6,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,QQL2011_846,male,AJ,SRP345309,11,not collected,not applicable,fin clips,4,4.26
SRR16894120,not collected,WGS,125,284083875,PRJNA779096,SAMN23011756,Model organism or animal,145331397,CORNELL UNIVERSITY,2011-05-18,public,"fastq,sra",ncbi,ncbi.public,1.492,SRX13086795,Greenland,North America,"Greenland: 1B\, Ikertoq",0.098,Illumina HiSeq 2500,66.91 N 52.31 W,54,IKE2011_998_14247X59_2_se,SINGLE,RANDOM,GENOMIC,0.19,7,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,IKE2011_998,female,AJ,SRP345309,13,not collected,not applicable,fin clips,4,2.072
SRR16894121,not collected,WGS,125,289973750,PRJNA779096,SAMN23011755,Model organism or animal,143134038,CORNELL UNIVERSITY,2011-05-18,public,"fastq,sra",ncbi,ncbi.public,2.69,SRX13086794,Greenland,North America,"Greenland: 1B\, Ikertoq",0.29,Illumina HiSeq 2500,66.91 N 52.31 W,73,IKE2011_986_14247X55_2_se,SINGLE,RANDOM,GENOMIC,0.146,7,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,IKE2011_986,female,AJ,SRP345309,13,not collected,not applicable,fin clips,4,3.542
SRR16894122,6,WGS,302,904866594,PRJNA779096,SAMN23011724,Model organism or animal,418722378,CORNELL UNIVERSITY,2011-05-10,public,"fastq,sra",ncbi,ncbi.public,2.08,SRX13086846,Greenland,North America,Greenland: Buksefjord,0.376,NextSeq 500,63.76 N 51.3 W,62,BUK2011_006_55107_7_pe,PAIRED,RANDOM,GENOMIC,0.1,5,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,BUK2011_006,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,2.72
SRR16894123,not collected,WGS,125,1211815750,PRJNA779096,SAMN23011849,Model organism or animal,603417163,CORNELL UNIVERSITY,2010-05-12,public,"fastq,sra",ncbi,ncbi.public,13.2,SRX13086792,Greenland,North America,Greenland: Uummannaq,0.1465,Illumina HiSeq 2500,not collected,110,UUM2010_001_14247X203_6_se,SINGLE,RANDOM,GENOMIC,1.417,8,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,UUM2010_001,female,not collected,SRP345309,not collected,not collected,not applicable,fin clips,not collected,17
SRR16894124,5,WGS,125,419744500,PRJNA779096,SAMN23011819,Model organism or animal,209878718,CORNELL UNIVERSITY,2008-02-08,public,"fastq,sra",ncbi,ncbi.public,1.32,SRX13086791,Greenland,North America,"Greenland: Bredefjord\, Narsaq",0.0322,Illumina HiSeq 2500,not collected,56,NAR2008_047_14247X201_6_se,SINGLE,RANDOM,GENOMIC,0.043,2,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,NAR2008_047,female,not collected,SRP345309,not collected,96% Ethanol,not applicable,fin clips,not collected,1.42
SRR16894125,not collected,WGS,125,279300000,PRJNA779096,SAMN23011861,Model organism or animal,128284888,CORNELL UNIVERSITY,2010-05-12,public,"fastq,sra",ncbi,ncbi.public,3.14,SRX13086790,Greenland,North America,Greenland: Uummannaq,0.0539,Illumina HiSeq 2500,not collected,73,UUM2010_064_14247X200_6_se,SINGLE,RANDOM,GENOMIC,0.2668,8,Gadus morhua,ILLUMINA,2021-11-09T00:00:00Z,UUM2010_064,male,not collected,SRP345309,not collected,not collected,not applicable,fin clips,not collected,3.8
